Variable,FH,Cuantil,Freq_obs
S0,1,0.1,11.268095768374165
S0,1,0.2,22.202115812917594
S0,1,0.30000000000000004,32.147828507795104
S0,1,0.4,42.128340757238306
S0,1,0.5,52.12277282850779
S0,1,0.6,62.06152561247216
S0,1,0.7000000000000001,70.54565701559021
S0,1,0.8,79.70489977728286
S0,1,0.9,89.44181514476614
S0,2,0.1,11.380246397995405
S0,2,0.2,21.89740377253428
S0,2,0.30000000000000004,32.24055126331176
S0,2,0.4,43.02220366116796
S0,2,0.5,53.48367787290318
S0,2,0.6,63.416162038003755
S0,2,0.7000000000000001,71.83824041205541
S0,2,0.8,80.75450685598942
S0,2,0.9,89.94918911394167
S0,3,0.1,10.900737853264653
S0,3,0.2,22.595016010023667
S0,3,0.30000000000000004,32.723096199359595
S0,3,0.4,43.679521091465965
S0,3,0.5,53.905053598774884
S0,3,0.6,63.33008492273423
S0,3,0.7000000000000001,71.92677154392315
S0,3,0.8,80.89934567729361
S0,3,0.9,90.54016427676459
S0,4,0.1,11.131221719457013
S0,4,0.2,22.241559345631746
S0,4,0.30000000000000004,32.56526279150714
S0,4,0.4,43.87051862164984
S0,4,0.5,54.47963800904977
S0,4,0.6,63.334493560737904
S0,4,0.7000000000000001,72.09885137486948
S0,4,0.8,81.33658197006613
S0,4,0.9,90.70657848938392
S0,5,0.1,11.354775828460038
S0,5,0.2,22.667780562517404
S0,5,0.30000000000000004,32.87385129490393
S0,5,0.4,43.66471734892787
S0,5,0.5,54.4973544973545
S0,5,0.6,63.95850737956002
S0,5,0.7000000000000001,72.65385686438319
S0,5,0.8,81.85742133110554
S0,5,0.9,90.67112225006962
S1,1,0.1,11.490812917594655
S1,1,0.2,22.209075723830736
S1,1,0.30000000000000004,31.94599109131403
S1,1,0.4,42.15618040089087
S1,1,0.5,51.96965478841871
S1,1,0.6,61.92928730512249
S1,1,0.7000000000000001,70.23246102449889
S1,1,0.8,79.53786191536749
S1,1,0.9,89.33741648106904
S1,2,0.1,11.129672165378993
S1,2,0.2,22.18974037725343
S1,2,0.30000000000000004,32.317115612166766
S1,2,0.4,42.92475812626157
S1,2,0.5,52.75283636110532
S1,2,0.6,63.026379898378224
S1,2,0.7000000000000001,71.53198301663535
S1,2,0.8,80.4412890652189
S1,2,0.9,89.96310990464258
S1,3,0.1,11.074759849644995
S1,3,0.2,22.29569817624948
S1,3,0.30000000000000004,32.375052206598916
S1,3,0.4,43.31755533899485
S1,3,0.5,53.640540164276764
S1,3,0.6,63.12125852707783
S1,3,0.7000000000000001,71.72490602812196
S1,3,0.8,80.73228456076849
