Variable,FH,Cuantil,Freq_obs
S0,1,0.1,10.791691751956654
S0,1,0.2,22.065021071643585
S0,1,0.30000000000000004,32.615894039735096
S0,1,0.4,42.71523178807947
S0,1,0.5,51.332028898254066
S0,1,0.6,59.866044551475014
S0,1,0.7000000000000001,68.86664659843468
S0,1,0.8,78.77031908488861
S0,1,0.9,88.94491270319085
S0,2,0.1,11.680590050425229
S0,2,0.2,22.081734025739443
S0,2,0.30000000000000004,32.603296455181756
S0,2,0.4,42.966809663580946
S0,2,0.5,51.75735681493189
S0,2,0.6,59.78776247459924
S0,2,0.7000000000000001,69.05245728907956
S0,2,0.8,78.98697975464741
S0,2,0.9,89.17739143523745
S0,3,0.1,11.666415776004817
S0,3,0.2,22.203823573686588
S0,3,0.30000000000000004,32.417582417582416
S0,3,0.4,42.64639470118922
S0,3,0.5,51.27954237543278
S0,3,0.6,59.51377389733554
S0,3,0.7000000000000001,68.65121180189674
S0,3,0.8,78.94776456420291
S0,3,0.9,89.04862261026645
S0,4,0.1,11.968385397064358
S0,4,0.2,22.453895370718858
S0,4,0.30000000000000004,32.013549115543846
S0,4,0.4,42.62702295822356
S0,4,0.5,50.914565299209634
S0,4,0.6,59.92472713586751
S0,4,0.7000000000000001,69.01016183665789
S0,4,0.8,78.87843432442605
S0,4,0.9,89.16070756492284
S0,5,0.1,11.675700090334237
S0,5,0.2,22.00391448358928
S0,5,0.30000000000000004,31.918096958747366
S0,5,0.4,42.080698584763624
S0,5,0.5,51.068955133995786
S0,5,0.6,59.929238181270705
S0,5,0.7000000000000001,69.08310749774165
S0,5,0.8,78.92201144233665
S0,5,0.9,88.70069256248118
S1,1,0.1,10.791691751956654
S1,1,0.2,21.673690547862734
S1,1,0.30000000000000004,32.615894039735096
S1,1,0.4,42.78296207104154
S1,1,0.5,51.34708007224563
S1,1,0.6,59.72305839855508
S1,1,0.7000000000000001,68.9118001204094
S1,1,0.8,78.72516556291392
S1,1,0.9,88.89975918121613
S1,2,0.1,11.387070068487997
S1,2,0.2,21.931210958079326
S1,2,0.30000000000000004,32.80650259652292
S1,2,0.4,43.13238503800708
S1,2,0.5,51.60683374727177
S1,2,0.6,59.855497855046295
S1,2,0.7000000000000001,69.32339881086776
S1,2,0.8,78.78377361330624
S1,2,0.9,88.93655452698125
S1,3,0.1,11.591148577449948
S1,3,0.2,22.12102965527623
S1,3,0.30000000000000004,32.4251091374379
S1,3,0.4,42.70660846003312
S1,3,0.5,51.40749661297607
S1,3,0.6,59.86000301068795
S1,3,0.7000000000000001,68.75658587987355
S1,3,0.8,78.74454312810477
S1,3,0.9,89.07120276983291
S1,4,0.1,12.149040270982312
S1,4,0.2,22.401204365826118
S1,4,0.30000000000000004,32.096349266089575
S1,4,0.4,42.6646593902898
S1,4,0.5,51.095220173127586
S1,4,0.6,60.143018441851716
S1,4,0.7000000000000001,69.25103500188182
S1,4,0.8,78.64508844561536
S1,4,0.9,88.9649981181784
S1,5,0.1,11.735922914784704
S1,5,0.2,21.86841312857573
S1,5,0.30000000000000004,32.27943390545017
S1,5,0.4,42.33664558867811
S1,5,0.5,51.09153869316471
S1,5,0.6,59.97440529960855
S1,5,0.7000000000000001,69.19602529358627
S1,5,0.8,78.72628726287263
S1,5,0.9,88.83619391749474
S2,1,0.1,10.844370860927151
S2,1,0.2,21.65863937387116
S2,1,0.30000000000000004,32.66104756170981
S2,1,0.4,42.76038531005418
S2,1,0.5,51.30192655027093
S2,1,0.6,59.519867549668874
S2,1,0.7000000000000001,68.6484045755569
S2,1,0.8,78.64990969295606
S2,1,0.9,89.03521974714027
S2,2,0.1,11.349439301572966
S2,2,0.2,21.893580191164297
S2,2,0.30000000000000004,32.49793030781967
S2,2,0.4,42.944231203431926
S2,2,0.5,51.57672913373974
S2,2,0.6,59.7576578610672
S2,2,0.7000000000000001,69.04493113569654
S2,2,0.8,78.57304131858207
S2,2,0.9,89.04192067434334
S2,3,0.1,11.470721059762155
S2,3,0.2,21.978021978021978
S2,3,0.30000000000000004,32.38747553816047
S2,3,0.4,42.751768779166035
S2,3,0.5,51.603191329218724
S2,3,0.6,59.73957549300015
S2,3,0.7000000000000001,68.77163931958452
S2,3,0.8,78.609062170706
S2,3,0.9,89.07120276983291
S2,4,0.1,12.096349266089575
S2,4,0.2,22.32593150169364
S2,4,0.30000000000000004,32.06624012043658
S2,4,0.4,42.86036883703425
S2,4,0.5,51.11780203236733
S2,4,0.6,60.293564170116674
S2,4,0.7000000000000001,69.09296198720362
S2,4,0.8,78.66014301844186
S2,4,0.9,88.76928867143394
S2,5,0.1,11.79614573923517
S2,5,0.2,21.99638663053297
S2,5,0.30000000000000004,32.37729599518217
S2,5,0.4,42.40439626618488
S2,5,0.5,51.0840108401084
S2,5,0.6,59.95182174043963
S2,5,0.7000000000000001,69.1358024691358
S2,5,0.8,78.83920505871725
S2,5,0.9,88.88136103583258
S3,1,0.1,10.799217338952438
S3,1,0.2,21.598434677904876
S3,1,0.30000000000000004,32.52558699578567
S3,1,0.4,42.685129440096325
S3,1,0.5,51.271824202287775
S3,1,0.6,59.46718844069837
S3,1,0.7000000000000001,68.3850090307044
S3,1,0.8,78.49187236604455
S3,1,0.9,89.08789885611078
S3,2,0.1,11.311808534657937
S3,2,0.2,21.697900203206142
S3,2,0.30000000000000004,32.309776473244526
S3,2,0.4,42.710920448558745
S3,2,0.5,51.61435990065477
S3,2,0.6,59.72002709415219
S3,2,0.7000000000000001,68.83419884097238
S3,2,0.8,78.44509671107097
S3,2,0.9,88.93655452698125
S3,3,0.1,11.508354659039592
S3,3,0.2,21.95544181845552
S3,3,0.30000000000000004,32.58317025440313
S3,3,0.4,42.74424205931055
S3,3,0.5,51.52792413066386
S3,3,0.6,59.62667469516785
S3,3,0.7000000000000001,68.80174619900647
S3,3,0.8,78.47358121330724
S3,3,0.9,88.86798133373476
S3,4,0.1,12.088821979676327
S3,4,0.2,22.160331200602183
S3,4,0.30000000000000004,32.35980429055326
S3,4,0.4,42.890477982687244
S3,4,0.5,51.155438464433566
S3,4,0.6,59.90214527662777
S3,4,0.7000000000000001,69.01016183665789
S3,4,0.8,78.65261573202861
S3,4,0.9,88.70907038012797
S3,5,0.1,11.788617886178862
S3,5,0.2,21.79313459801265
