Variable,FH,PICP,ACE,PINAW,CRPS
S0,1,83.16549177576368,3.165491775763684,53.94679441700701,30.545058388986128
S0,2,83.30675618967688,3.306756189676875,67.74685899702929,37.42290224231909
S0,3,83.52358569749873,3.5235856974987314,75.86485458138891,41.68062556427203
S0,4,83.37950138504155,3.37950138504155,81.70233477487238,45.11804037683863
S0,5,83.15144392209537,3.1514439220953676,86.99789540486907,47.92755147797023
S1,1,83.2074521651561,3.2074521651560985,54.085362253195804,30.581404779724792
S1,2,82.85354595048258,2.8535459504825837,67.13467772905243,37.3770195470826
S1,3,83.31374853113984,3.3137485311398365,75.44912678306194,41.60370513491253
S1,4,83.06052211869387,3.060522118693868,81.13266028110769,45.02708007555171
S1,5,82.89959704499664,2.8995970449966393,86.54198106856549,47.85759065774856
S2,1,83.24941255454851,3.2494125545485133,54.4874558219841,30.69574483602787
S2,2,82.75283256399496,2.752832563994957,66.8895250861757,37.2893990528995
S2,3,83.07873090481786,3.07873090481786,74.80227509236119,41.33857643376132
S2,4,82.8422731469823,2.8422731469822935,80.67199691794902,44.75786900320679
S2,5,82.76527871054398,2.7652787105439813,85.98512624639262,47.590447096067145
S3,1,83.11513930849279,3.115139308492786,54.284210555986775,30.623959789258834
S3,2,82.68569030633654,2.6856903063365394,66.81578570884624,37.24742934881829
S3,3,83.11230485143528,3.112304851435283,74.64678680917287,41.23722699731934
S3,4,82.88424410308068,2.8842441030806754,80.46175701247694,44.56275081204748
S3,5,82.7568838146407,2.7568838146407018,85.61063359749446,47.34999934970572
S4,1,82.9640819066801,2.964081906680093,54.19861009530845,30.662743710852773
S4,2,82.4171212757029,2.417121275702897,66.36576134430044,37.14625015280865
S4,3,82.9947960382743,2.994796038274302,73.92141885185536,41.031257563822656
S4,4,82.89263829430034,2.8926382943003404,80.26927562749412,44.36178910100302
S4,5,82.63096037609134,2.6309603760913376,85.08752521779194,47.132394311709625
S5,1,83.16549177576368,3.165491775763684,54.3714356063442,30.712359630631816
S5,2,82.37515736466638,2.3751573646663786,66.26211290131013,37.134182810730145
S5,3,83.18784623132449,3.1878462313244853,73.91491763562927,40.93132827371437
S5,4,83.0101569713758,3.0101569713758067,79.99915811687386,44.196530037564855
S5,5,82.8576225654802,2.8576225654801988,84.9939442462288,46.9539342025618
S6,1,83.33333333333334,3.333333333333343,54.57027531644201,30.775994739776372
S6,2,82.4087284934956,2.4087284934956017,66.33438006326648,37.151074053260274
S6,3,83.09551787812659,3.0955178781265857,73.77312725263151,40.874757421856465
S6,4,82.9430034416184,2.9430034416184014,79.78026925781433,44.04429907469199
S6,5,82.80725319006045,2.8072531900604503,84.5199067167294,46.733051936475434
S7,1,83.28298086606245,3.282980866062445,54.71156472660629,30.825329073428936
S7,2,82.58497691984893,2.584976919848927,66.48264500959846,37.17715413471439
S7,3,83.0703374181635,3.070337418163504,73.6418911370914,40.79435138608348
S7,4,82.92621505917904,2.926215059179043,79.49537253772839,43.89201406604612
S7,5,82.70651443922095,2.7065144392209532,84.22172553713932,46.55628770371882
S8,1,83.40886203423968,3.408862034239675,54.82765029310151,30.871414115943402
S8,2,82.62694083088545,2.626940830885445,66.54622229522515,37.201639049039535
S8,3,83.06194393150915,3.0619439315091483,73.70343594042768,40.74986405905353
S8,4,82.69957189624779,2.6995718962477895,79.07215615995531,43.73351137293545
S8,5,82.67293485560779,2.6729348556077923,84.09557486507569,46.40607585348073
S9,1,83.41725411211816,3.417254112118158,54.90699141580053,30.90270166082125
S9,2,82.78640369282417,2.786403692824166,66.81704381786045,37.24001865771809
S9,3,82.90246768507637,2.902467685076374,73.43741776516727,40.67023408370922
S9,4,82.65760094014941,2.6576009401494076,78.910179239209,43.61674354400828
S9,5,82.44627266621893,2.446272666218931,83.68348259368038,46.25044396079245
S10,1,83.45082242363209,3.45082242363209,55.07369246238587,30.947664711096998
S10,2,82.71086865295845,2.710868652958453,66.84106997778233,37.248460758953264
S10,3,82.92764814503944,2.9276481450394414,73.62759250183588,40.688138602632606
S10,4,82.80869638210359,2.808696382103591,78.99058045622567,43.576970289511806
S10,5,82.34553391537945,2.3455339153794483,83.33314177805022,46.091065881662956
S11,1,83.3081570996979,3.308157099697894,55.08158606774312,30.977392109498723
S11,2,82.57658413764163,2.576584137641632,67.00324052825704,37.2743203602655
S11,3,82.91925465838509,2.9192546583850856,73.66736655908876,40.67751323930057
S11,4,82.57365902795266,2.573659027952658,79.01452923803953,43.54036341790809
S11,5,82.37071860308932,2.3707186030893155,83.40447017756179,46.033027054137236
S12,1,83.40886203423968,3.408862034239675,55.32897086028068,31.01883370793194
S12,2,82.4422996223248,2.4422996223247964,66.95478080114167,37.28569019218141
S12,3,82.98640255161995,2.986402551619946,73.77495151039219,40.67185145463616
S12,4,82.60723579283136,2.6072357928313608,78.83847976865582,43.47687379980909
S12,5,82.53022162525184,2.5302216252518406,83.56416792883287,45.96395066075884
B1,1,83.28298086606245,3.282980866062445,52.307616267739206,30.991614322951843
B1,2,82.88711707931179,2.8871170793117926,66.40769162538663,38.69439812883598
B1,3,82.3820715125063,2.3820715125063003,75.05572963584703,43.12581982429447
B1,4,82.12876689330983,2.1287668933098303,81.44811225784818,46.66371474782186
B1,5,82.36232370718604,2.362323707186036,86.88407573684913,49.45917807436294
B2,1,82.54447801275596,2.5444780127559596,50.52995494579468,30.746562360448404
B2,2,82.55140579101973,2.5514057910197323,64.47545212181315,38.40327192982267
B2,3,81.67701863354037,1.6770186335403707,73.2778386657807,42.843865639048246
B2,4,81.73423990598506,1.7342399059850635,79.44592521413995,46.37156026859596
B2,5,81.7494963062458,1.7494963062458027,85.5044777804734,49.268481899647085
B3,1,82.73749580396105,2.7374958039610533,51.143644532063185,30.818335385848833
B3,2,82.75283256399496,2.752832563994957,65.08324549921213,38.497988955892936
B3,3,81.9791841530972,1.9791841530971936,73.67469460360827,42.92377332678404
B3,4,81.64190380256862,1.6419038025686206,79.5622771260671,46.40581238825146
B3,5,81.79147078576226,1.7914707857622574,85.45294922528142,49.2941496731916
B4,1,82.98925814031554,2.989258140315542,51.547041363,30.883428530736193
B4,2,82.9374737725556,2.937473772555606,65.573778740065,38.59837630933682
B4,3,82.17223434614739,2.172234346147391,73.95553261793435,42.954502491432365
B4,4,81.98606564257534,1.9860656425753405,79.73051110574136,46.37560214655619
B4,5,81.88381464069846,1.8838146406984606,85.63545470285987,49.299701512887474
B5,1,83.12353138637127,3.123531386371269,51.82101526561854,30.958522347179454
B5,2,82.77801091061687,2.778010910616871,65.73658071592767,38.587434715012165
B5,3,82.40725197246937,2.4072519724693677,74.21361645614716,42.96246743068261
B5,4,82.14555527574919,2.1455552757491887,79.93199115601996,46.38198955330573
B5,5,82.06850235057085,2.068502350570853,85.59284286067343,49.272434238913405
B6,1,82.99765021819402,2.9976502181940248,51.65610528430693,30.902765374210265
B6,2,82.836760386068,2.8367603860679935,65.69532872529706,38.567872519487906
B6,3,82.23098875272788,2.2309887527278818,73.91891521172627,42.93435327640712
B6,4,82.33022748258205,2.330227482582046,80.07529908737024,46.384194010912275
