Variable,FH,PICP,ACE,PINAW,CRPS
S0,1,79.01046358533712,-0.9895364146628793,28.09967862763517,26.08387040189886
S0,2,77.72002772002772,-2.2799722799722844,39.495279652919244,34.64372087357037
S0,3,77.12246170905814,-2.8775382909418568,46.89999686266405,40.19295870774387
S0,4,76.78125866370945,-3.218741336290549,51.72628531943959,44.08607522307849
S0,5,76.80737506065017,-3.1926249393498267,55.88184875115662,47.36792428028004
S1,1,79.3846580278567,-0.6153419721432982,28.144972988205204,25.953960864329197
S1,2,77.90713790713791,-2.0928620928620916,38.76621566837265,34.27167431982537
S1,3,77.21948853004366,-2.7805114699563376,46.53125195658634,39.79537647065132
S1,4,76.88522317715552,-3.114776822844476,51.515767896476696,43.701723295026184
S1,5,76.95986691619879,-3.0401330838012086,55.282697894628505,46.98013269332478
S2,1,79.0589702723304,-0.9410297276696014,27.937029728376288,25.922220752033233
S2,2,77.99722799722801,-2.002772002771991,38.7093461739368,34.19110126842893
S2,3,77.05315683692564,-2.9468431630743623,46.05533250619691,39.565729457860606
S2,4,76.9406709176601,-3.0593290823399,51.28733337723622,43.40948420430794
S2,5,77.13315311568587,-2.8668468843141284,55.09675143199267,46.68104510525218
S3,1,78.82336636407733,-1.17663363592267,28.044244889779552,25.936386219810576
S3,2,77.74774774774775,-2.252252252252248,38.43467814527007,34.218616184992584
S3,3,77.05315683692564,-2.9468431630743623,45.717546653213894,39.43702121217715
S3,4,76.76739672858332,-3.2326032714166786,50.7899182482133,43.21980414872007
S3,5,76.89055243640396,-3.109447563596035,54.47002726554759,46.42256008545161
S4,1,78.73328251680411,-1.2667174831958903,27.931233944855716,25.990158244508898
S4,2,77.65765765765765,-2.3423423423423486,38.46411566209373,34.268980135774946
S4,3,76.94919952872688,-3.0508004712731207,45.27657518603342,39.36251173102153
S4,4,76.72581092320489,-3.2741890767951105,50.29034477540664,43.06344642039872
S4,5,76.80044361267069,-3.1995563873293094,53.9587441977045,46.21659293614541
S5,1,78.74714157023075,-1.2528584297692476,28.061897025146305,26.04971807646564
S5,2,77.64379764379764,-2.3562023562023597,38.47420249881475,34.30177102832889
S5,3,76.91454709266061,-3.0854529073393877,45.03699619158154,39.29792021096051
S5,4,76.96146382034932,-3.038536179650677,49.985036510352934,42.917911412223056
S5,5,76.89748388438345,-3.1025161156165524,53.45352363501732,46.01631987035548
S6,1,78.89959115792391,-1.1004088420760922,28.287427084028714,26.10496116613385
S6,2,77.75467775467776,-2.2453222453222423,38.83559499184071,34.45229970107196
S6,3,77.23334950447016,-2.766650495529845,45.1125577120956,39.336312764811595
S6,4,77.13473800942612,-2.8652619905738845,49.85433567726369,42.87695149370625
S6,5,76.86975809246552,-3.130241907534483,53.14283718244689,45.88756812270069
S7,1,79.01046358533712,-0.9895364146628793,28.40591909981644,26.163873961808868
S7,2,77.8031878031878,-2.1968121968122034,38.87978263456035,34.58622530012822
S7,3,77.08780927299189,-2.9121907270081095,45.05947105392751,39.41492642764458
S7,4,77.25256445799835,-2.7474355420016536,49.68174016968416,42.884310390094136
S7,5,76.89748388438345,-3.1025161156165524,52.998514045951616,45.808769936316665
