Variable,FH,PICP,ACE,PINAW,CRPS
S0,1,78.15322095123419,-1.8467790487658107,28.1747778546588,25.794109171885882
S0,2,77.49680138481222,-2.5031986151877845,39.48136762309153,33.73547500017197
S0,3,77.38220683426162,-2.6177931657383766,47.70467103920945,38.79797752961932
S0,4,77.19232216785848,-2.807677832141522,54.05334158007683,43.1138655774491
S0,5,77.02499247214695,-2.9750075278530517,59.817768034247095,46.27025935344479
S1,1,78.10806742925949,-1.891932570740508,28.120482051204966,25.677554928540363
S1,2,77.54948445849327,-2.450515541506732,39.286854948394264,33.48988334374785
S1,3,77.48005419238297,-2.5199458076170345,47.24026518443215,38.38008328451455
S1,4,76.81595784719607,-3.1840421528039258,53.256258730239225,42.60431395565348
S1,5,77.10027100271003,-2.8997289972899694,59.198839430543046,45.76719855882016
S2,1,78.19084888621313,-1.8091511137868679,28.253509164624447,25.710820321704563
S2,2,77.69248137277037,-2.3075186272296264,39.2580018924213,33.398799618346146
S2,3,77.60048171007075,-2.3995182899292473,47.03746168719605,38.2105688237041
S2,4,76.67293940534438,-3.32706059465562,52.92506065763478,42.332257138882184
S2,5,77.08521529659741,-2.9147847034025887,58.731924096064134,45.524268733224325
S3,1,78.28868151715834,-1.711318482841662,28.257413842434193,25.7608931540298
S3,2,77.62474599232331,-2.3752540076766877,39.07535867410581,33.3389705718315
S3,3,77.35962667469516,-2.640373325304836,46.72133960252317,38.019687455648686
S3,4,76.62024840045164,-3.3797515995483565,52.54123273436163,42.082757496190595
S3,5,76.85185185185185,-3.1481481481481524,58.410934661388524,45.22848645903255
S4,1,78.42414208308249,-1.5758579169175135,28.278935516432334,25.805164073661047
S4,2,77.63979829908934,-2.3602017009106646,38.90559144310718,33.32014126635939
S4,3,77.44242059310552,-2.557579406894476,46.286234145981034,37.88786211638945
S4,4,76.62024840045164,-3.3797515995483565,52.21724688167263,41.886420924683364
S4,5,76.84432399879555,-3.155676001204455,57.9561123367989,44.9659680036039
S5,1,78.48434677904876,-1.5156532209512363,28.287657498188207,25.804277100435623
S5,2,77.43659215774818,-2.56340784225182,38.90279953576146,33.349109078317
S5,3,77.41231371368357,-2.5876862863164263,46.00670540783915,37.79122175612633
S5,4,76.68799397817087,-3.3120060218291343,51.9219102588341,41.69168493866309
S5,5,76.94971394158387,-3.050286058416134,57.546624683924065,44.732694048673835
S6,1,78.4090909090909,-1.5909090909090935,28.28450199295185,25.79205265442495
S6,2,77.38390908406714,-2.6160909159328583,38.853025021533114,33.36473828155634
S6,3,77.2768327562848,-2.7231672437151957,45.79994224751933,37.75531472522897
S6,4,76.83101242002259,-3.1689875799774114,51.722398379122914,41.54269274918497
S6,5,77.00993676603433,-2.990063233965671,57.01171341029179,44.51673688006239
S7,1,78.19837447320891,-1.801625526791085,28.16078133642818,25.713260117079823
S7,2,77.18822909610897,-2.8117709038910306,38.794099720143144,33.38571798066153
S7,3,77.24672587686287,-2.753274123137132,45.67518733030796,37.71753239196526
S7,4,76.80843056078284,-3.1915694392171616,51.31363112188486,41.41108443846259
S7,5,77.06263173742849,-2.9373682625715105,56.520623223434626,44.3617746080327
S8,1,78.18332329921735,-1.8166767007826508,28.17131351980098,25.713153719214354
S8,2,77.27854293670505,-2.721457063294949,38.87510549612309,33.43298824451057
S8,3,77.14887851874154,-2.8511214812584598,45.65384627851306,37.703783447692196
S8,4,76.90628528415506,-3.093714715844939,51.03102180300172,41.371809907076226
S8,5,77.20566094549835,-2.7943390545016484,56.00500174271752,44.25380054206862
S9,1,78.00270921131849,-1.9972907886815108,27.892293166692276,25.68817457133913
S9,2,77.0753367953639,-2.9246632046361043,38.83565013228099,33.44754934832711
S9,3,76.91555020322144,-3.084449796778557,45.44219778728067,37.706635694577834
S9,4,76.96650357546105,-3.033496424538953,50.846261688676876,41.338374303897
S9,5,77.24330021077989,-2.7566997892201073,55.91390258312906,44.187879255954776
S10,1,78.02528597230584,-1.9747140276941622,27.86673501434574,25.710143694820104
S10,2,76.87213065402273,-3.127869345977274,38.80959986959351,33.49095689450355
S10,3,76.97576396206533,-3.0242360379346707,45.51269060162531,37.778031182629434
S10,4,77.04930372600678,-2.9506962739932163,50.86899709386423,41.336970593110834
S10,5,77.12285456187895,-2.8771454381210475,55.69218581209792,44.11225696633082
S11,1,77.99518362432269,-2.004816375677308,27.916002046507206,25.71948798164588
S11,2,76.9699706480018,-3.030029351998195,38.782033967464976,33.54881039033048
S11,3,76.8177028451001,-3.1822971548998993,45.40606804583658,37.7976552672935
S11,4,76.96650357546105,-3.033496424538953,50.75029559736118,41.31958343892198
S11,5,77.07015959048479,-2.929840409515208,55.709063560107516,44.09515046315342
S12,1,77.85972305839856,-2.140276941601442,27.853150901394308,25.69155033435733
S12,2,76.9549183412358,-3.045081658764204,38.829154436996305,33.58879907160424
S12,3,76.71985548697877,-3.2801445130212272,45.436910965587174,37.829250526075455
S12,4,76.93639442980805,-3.063605570191953,50.77109914038037,41.34253887733423
