Variable,FH,PICP,ACE,PINAW,CRPS
S0,1,81.07334775629842,1.0733477562984177,40.534791286585516,28.47801447912797
S0,2,80.3391959798995,0.33919597989950034,55.23843467035764,37.35162223165282
S0,3,80.45648077057305,0.4564807705730516,65.82816861118228,43.12542942097552
S0,4,80.1549630043278,0.1549630043277972,73.27062979204564,47.58004493447125
S0,5,79.47643979057591,-0.5235602094240903,78.34188280442926,51.299902548173876
S1,1,81.01751692372112,1.017516923721118,40.146577246382456,28.31671333632975
S1,2,80.35315466219988,0.35315466219988423,54.72879918922564,37.03669593042841
S1,3,80.27500523487122,0.275005234871216,64.76010919066746,42.62304461573855
S1,4,80.21778584392014,0.2177858439201401,72.74149689857005,47.14194262493398
S1,5,79.61605584642234,-0.38394415357765865,77.98417345246676,50.893198982748245
S2,1,80.97564379928815,0.9756437992881501,40.252463225214775,28.360005584038635
S2,2,80.09491903964265,0.09491903964264736,54.42114418548088,36.90238309368161
S2,3,80.21916660850144,0.219166608501439,64.16076205604003,42.242294560551755
S2,4,80.23872679045093,0.23872679045092582,71.9192300138472,46.71560875797245
S2,5,79.52530541012216,-0.4746945898778421,77.16002841849549,50.41027744747127
S3,1,80.64763765789658,0.6476376578965812,40.01830225301207,28.371685514099354
S3,2,80.12283640424343,0.12283640424342934,54.41990294458834,36.87484616269212
S3,3,80.0935296991694,0.09352969916939458,63.484224677842896,42.07660576156179
S3,4,79.96649448555074,-0.03350551444925998,71.01357469983769,46.373142582048885
S3,5,79.25305410122164,-0.7469458987783639,76.43159557359792,50.07159540171987
S4,1,80.60576453346361,0.6057645334636135,40.08612407790559,28.4103030400572
S4,2,80.07398101619208,0.07398101619207864,54.34442393266055,36.9040120563068
S4,3,80.02373141620717,0.023731416207169787,63.275708886584624,42.031811751949036
S4,4,79.63841965656849,-0.3615803434315126,70.33751467053034,46.15755297695942
S4,5,79.10645724258289,-0.8935427574171086,75.6738743445404,49.82580659991231
S5,1,80.56389140903065,0.5638914090306457,40.11572268846918,28.459135740566687
S5,2,80.06002233389168,0.060022333891680546,54.30358284764767,36.996728036329344
S5,3,79.90507433517135,-0.09492566482865072,63.40441511433256,42.1268846589639
S5,4,79.66634091860952,-0.3336590813904792,70.1007694475819,46.16403841244301
S5,5,79.14834205933683,-0.8516579406631735,75.52184076873277,49.70374481947377
S6,1,80.65461651196874,0.6546165119687402,40.3894447626811,28.535353848875868
S6,2,79.84366275823562,-0.15633724176437624,54.43303940016211,37.161492506508225
S6,3,79.83527605220911,-0.16472394779088972,63.393062101330436,42.257170891886325
S6,4,79.60351807901718,-0.3964819209828221,70.1038206238261,46.20619946709158
S6,5,79.12739965095986,-0.872600349040141,75.4637679822136,49.67820699995337
S7,1,80.42431432758741,0.4243143275874104,40.338230708547435,28.567410004077104
S7,2,79.83668341708542,-0.1633165829145753,54.79194741717419,37.39962922691031
S7,3,79.52118377887903,-0.4788162211209652,63.712161777949774,42.48807938251232
S7,4,79.31732514309647,-0.6826748569035317,70.23256767803768,46.4423121149876
S7,5,78.75043630017451,-1.2495636998254867,75.469546222168,49.861735894487296
S8,1,80.19401214320608,0.19401214320608062,40.44508363800007,28.666097207048562
S8,2,79.89251814628699,-0.10748185371301133,55.25381942037135,37.59968064358908
S8,3,79.29782927339988,-0.7021707266001158,63.82802587053571,42.70373023470715
S8,4,79.2405416724836,-0.7594583275163984,70.35911253530567,46.68828382127724
S8,5,78.6108202443281,-1.389179755671904,75.40735929687379,49.968388738851495
S9,1,80.22890641356689,0.22890641356688946,40.60248812239522,28.723060335794635
S9,2,79.88553880513679,-0.11446119486321038,55.59107496209409,37.76253970922812
S9,3,79.22803099043763,-0.771969009562369,64.03491298866399,42.911754950655514
S9,4,78.92642747452184,-1.0735725254781556,70.28656740930673,46.83293374218566
S9,5,78.70855148342059,-1.2914485165794076,75.71528695179805,50.12144264425076
S10,1,80.20796985135041,0.20796985135041268,40.62329802746074,28.78039136774936
S10,2,79.76689000558346,-0.23310999441653735,55.582082462775915,37.90555650871145
S10,3,79.28386961680742,-0.7161303831925778,64.08067130372298,43.084890544270735
S10,4,78.82172274186793,-1.17827725813207,70.32612706054789,46.96851259623763
S10,5,78.58289703315882,-1.4171029668411848,75.71156401324754,50.22209026184877
S11,1,80.1381813106288,0.13818131062879502,40.54337769365737,28.784948270655857
S11,2,79.59240647682859,-0.40759352317141406,55.45919006676267,37.970783108386826
S11,3,79.36762755636211,-0.632372443637891,64.4012008563062,43.24932579809471
S11,4,78.72399832472428,-1.2760016752757224,70.46953929014876,47.08067119538652
S11,5,78.50610820244329,-1.4938917975567136,75.76189721821812,50.343438062486875
S12,1,80.19401214320608,0.19401214320608062,40.56396853639837,28.812149618849308
S12,2,79.69011725293133,-0.30988274706867003,55.66509144855121,38.05230623601315
S12,3,79.40252669784323,-0.5974733021567715,64.5512057967019,43.35975204247229
S12,4,78.66117548513193,-1.3388245148680653,70.55391377775749,47.19198540812935
S12,5,78.5130890052356,-1.4869109947644006,75.89847960505038,50.417061738283714
B1,1,84.24872635913184,4.248726359131837,43.13568653674877,29.550823922353747
B1,2,83.17978782802903,3.179787828029035,58.688426951288754,39.43875066452305
B1,3,82.32707475396104,2.3270747539610426,68.96152495870713,45.51902417768037
B1,4,82.24905765740611,2.2490576574061123,76.92151699149743,50.1368697132946
B1,5,81.91972076788831,1.9197207678883075,82.13517145014612,53.756399677131455
B2,1,83.19491939423547,3.1949193942354697,41.23094665675212,29.292361561176026
B2,2,82.23757677275265,2.2375767727526465,56.83511637202757,39.11926816409608
B2,3,81.62211209604244,1.6221120960424429,67.42528116610164,45.23822524158639
B2,4,81.37651821862349,1.376518218623488,74.36470767600188,49.68974250092478
B2,5,80.97731239092496,0.9773123909249648,80.00794758589423,53.342685419747106
B3,1,82.45516086258637,2.455160862586368,40.26706182329385,29.13735420197173
B3,2,81.46984924623115,1.4698492462311492,55.68441359154236,38.910628322659846
B3,3,81.05674600404829,1.0567460040482928,65.73105103599949,44.92958842631818
B3,4,80.52491972637164,0.5249197263716354,72.47953343283955,49.43360697562533
B3,5,80.24432809773124,0.2443280977312412,78.5426995343593,53.19189943024897
B4,1,81.98757763975155,1.9875776397515494,39.79329745889541,29.12790467526498
B4,2,80.89754327191513,0.8975432719151257,54.82078388002479,38.76600013340196
B4,3,80.5890975082013,0.5890975082013057,64.94981750899846,44.77895919945428
B4,4,79.95951417004049,-0.04048582995950767,71.79565596414068,49.28225022112682
B4,5,79.38568935427574,-0.6143106457242595,77.82001440929804,53.029082944439175
B5,1,82.0154930560402,2.0154930560401993,40.40011484007785,29.244967441742702
B5,2,81.15577889447236,1.1557788944723626,55.79644106409546,38.992560155553406
B5,3,81.01486703427095,1.0148670342709494,65.49340608260592,44.924368083981676
B5,4,80.32249057657405,0.32249057657405444,72.44219124724928,49.40599642007333
B5,5,79.8673647469459,-0.1326352530541044,78.28825961301288,53.145410948189124
B6,1,82.33652034335962,2.3365203433596236,41.79262890900991,29.506444371234355
B6,2,81.53266331658291,1.5326633165829122,57.03068783095143,39.2773185863765
B6,3,81.32895930760104,1.328959307601039,66.42488008076852,45.12839487793506
B6,4,81.1391874912746,1.1391874912745976,73.64395025968821,49.68781834619391
