Variable,FH,PICP,ACE,PINAW,CRPS
S0,1,82.74353876739563,2.743538767395634,54.23120899977884,30.825519601521314
S0,2,82.24113249562589,2.241132495625891,67.91506993166506,37.948970559070275
S0,3,82.24767358625627,2.247673586256269,75.72278856929996,42.10678718261032
S0,4,81.9599109131403,1.9599109131403054,81.5362387235123,45.507899910070385
S0,5,81.89483732399968,1.8948373239996812,87.25709669122918,48.67103335996237
S1,1,82.65606361829026,2.6560636182902613,54.111423547666384,30.798583272038055
S1,2,82.12183871480833,2.1218387148083337,67.63164754499398,37.911085103408766
S1,3,82.08064900978287,2.0806490097828743,75.52686732166832,42.03754121931866
S1,4,81.96786509704104,1.9678650970410416,81.19628832966146,45.39752805595344
S1,5,81.77551507437754,1.7755150743775374,86.92053526182431,48.573601074093425
S2,1,82.66401590457257,2.6640159045725653,54.24305280060666,30.8795765980759
S2,2,81.9150628280579,1.9150628280578985,67.26478197986623,37.811834195559896
S2,3,82.06474190726159,2.064741907261592,75.33296788270061,41.9574603870294
S2,4,81.93604836143813,1.9360483614381252,81.0820510950308,45.32386003180025
S2,5,81.63232837483096,1.632328374830962,86.66974094737093,48.46220365951667
S3,1,82.65606361829026,2.6560636182902613,54.198119957563954,30.90885209450622
S3,2,82.05821536503896,2.0582153650389614,67.20258666454329,37.798885920247265
S3,3,81.99315994591585,1.993159945915849,74.98010577434037,41.8995799571516
S3,4,81.66560610881324,1.6656061088132361,80.49831952316586,45.1872756445246
S3,5,81.6561928247554,1.6561928247553936,86.34862797631273,48.358765024171866
S4,1,82.50497017892644,2.504970178926442,54.09962869232602,30.922661223389976
S4,2,82.07412120248131,2.074121202481308,67.32437730324699,37.846317681559626
S4,3,82.00111349717649,2.0011134971764903,74.60016484883984,41.81065274419015
S4,4,81.54629335030225,1.5462933503022498,80.2465845866003,45.066298596604405
S4,5,81.52891575849178,1.5289157584917774,85.98948210954389,48.19724482179293
S5,1,82.64015904572565,2.640159045725653,54.41199297330468,31.00755716731842
S5,2,82.00254493399078,2.0025449339907766,67.31289781184614,37.87017395805503
S5,3,82.02497415095841,2.024974150958414,74.62461550176657,41.81127733433066
S5,4,81.70537702831689,1.7053770283168888,80.28899401488854,45.06294148191373
S5,5,81.64028319147243,1.6402831914724345,85.9894305483253,48.11883436233966
S6,1,82.63220675944333,2.632206759443335,54.669795353088624,31.10707005894143
S6,2,82.09797995864481,2.097979958644814,67.55868116102491,37.93690496404564
S6,3,82.03292770221904,2.032927702219041,74.66606877739062,41.790466828869036
S6,4,81.69742284441617,1.6974228444161668,80.14639109472112,45.013989999434656
S6,5,81.86301805743378,1.8630180574337771,85.94145389401984,48.009337811565565
S7,1,82.56858846918489,2.5685884691848884,54.77468243828848,31.145725310813635
S7,2,82.16955622713536,2.1695562271353594,67.64813296538678,38.0040841685979
S7,3,82.13632386860733,2.1363238686073345,74.85765565877249,41.82000556290265
S7,4,81.71333121221762,1.713331212217625,79.94268984702406,44.945034916483806
S7,5,81.86301805743378,1.8630180574337771,85.83939789077331,47.92422192903002
S8,1,82.60039761431412,2.6003976143141188,54.70325489927589,31.152488395765033
S8,2,82.16160330841419,2.161603308414186,67.82825065832415,38.04023746560339
S8,3,82.11246321482541,2.1124632148254108,74.89474847390363,41.83117781989318
S8,4,81.73719376391982,1.7371937639198194,79.86855638482467,44.90119548098951
S8,5,81.95052104049002,1.9505210404900168,85.84756437630442,47.84716075481404
S9,1,82.67992047713719,2.6799204771371876,54.98929046719974,31.191461649509346
S9,2,82.26499125178941,2.264991251789411,68.04770260559214,38.11739294743147
S9,3,82.12041676608605,2.120416766086052,74.89083166762714,41.83955735545914
S9,4,81.84059815462933,1.8405981546293333,79.95570486988892,44.900552306494205
S9,5,82.09370774003659,2.093707740036592,85.76680080916636,47.80289759948088
S10,1,82.77534791252485,2.7753479125248504,55.22580129939665,31.26598763176356
S10,2,82.41609670749165,2.416096707491647,68.09380568621435,38.16592504256021
S10,3,82.14427741986798,2.1442774198679757,75.10270346674824,41.86585202350667
S10,4,81.93604836143813,1.9360483614381252,80.03539552207609,44.888893150297534
S10,5,82.17325590645136,2.1732559064513595,85.6733964803052,47.74291943628675
S11,1,82.71968190854871,2.719681908548708,55.487828279549426,31.335079715358848
S11,2,82.32861460155877,2.328614601558769,68.02321978543173,38.18730919585262
S11,3,82.27153424003818,2.2715342400381786,75.2178288580907,41.889892301355616
S11,4,81.99968183264397,1.9996818326439723,80.03636457349731,44.881284507341796
S11,5,82.22893962294168,2.228939622941681,85.62437764316907,47.73494197311
S12,1,82.77534791252485,2.7753479125248504,55.55950101445847,31.367050889973626
S12,2,82.32066168283761,2.32066168283761,68.14007395969178,38.25061237894393
S12,3,82.28744134255945,2.287441342559447,75.31318029189337,41.91047806397096
S12,4,82.0314985682469,2.031498568246903,80.12640982137343,44.907973266927584
S12,5,82.2925781560735,2.2925781560735032,85.65363166969138,47.727396443089084
B1,1,82.4493041749503,2.4493041749502993,52.96009900004302,31.30829990378052
B1,2,82.23317957690472,2.2331795769047176,68.3044820059114,39.084276684844944
B1,3,81.59548238288396,1.595482382883958,75.87299768525216,43.34082130809306
B1,4,81.91218580973592,1.9121858097359166,82.54539061480284,46.76792360126009
B1,5,81.28231644260599,1.282316442605989,87.10822696469259,49.841698041133
B2,1,82.80715705765408,2.8071570576540807,52.86736830686879,31.358334480758153
B2,2,82.3763321138858,2.3763321138857947,67.96243155202842,39.023008446581116
B2,3,81.88976377952756,1.8897637795275557,75.52246014195148,43.256745740932615
B2,4,82.07922367165129,2.0792236716512917,82.27706550279581,46.709712958264646
B2,5,81.68005727467983,1.6800572746798252,87.27907253631093,49.85386848038657
